img,label
2017_1226_162202_000753,01
2017_1220_144733_002685,01
2017_1225_161305_000540,01
2017_1226_152820_003973,01
2017_1226_160408_001423,01
2017_1226_152521_001831,01
2017_1226_161006_004438,01
2017_1226_161604_002231,01
2017_1226_161305_003403,01
2017_1226_153717_004037,01
2017_1226_153119_003259,01
2017_1226_162202_000753,01
2017_1220_144733_002685,01
2017_1226_155810_000609,01
2017_1225_161305_000540,01
2017_1226_152820_000256,01
2017_1226_152820_003973,01
2017_1226_133415_003697,01
2017_1226_160408_001423,01
2017_1218_155605_002139,01
2017_1226_152521_001831,01
2017_1226_155511_001532,01
2017_1226_161006_004438,01
2017_1226_145531_001035,01
2017_1226_161604_002231,01
2017_1226_161305_000685,01
2017_1226_161305_003403,01
2017_1225_161903_000593,01
2017_1226_153717_004037,01
